ain	ein
hocher	hoher
lerer	lehrer
hiesz	hiess
anshelmus	anselm
der	der
pat	bat
vnser	unser
frawn	frauen
lang	lang
wainend	weinend
vnd	und
vastund	fastend
daz	dass
se	sie
im	ihm
czu	zu
erchennen	erkennen
geb	gebe
wie	wie
vnser	unser
her	herr
gemartert	gemartert
wer	wäre
vnd	und
do	da
er	er
also	also
nach	nach
seiner	seiner
gewonhait	gewohnheit
vmb	um
dy	die
selben	selben
sache	sache
eines	eines
males	mal
vnser	unser
frawn	frauen
pat	bat
mit	mit
ganczem	ganzem
ernst	ernst
do	da
erschain	erscheine
im	ihm
vnser	unser
fraw	frau
vnd	und
sprach	sprach
also	also
anshelme	anselm
wiz	wisse
mein	mein
liebes	liebes
chind	kind
hat	hat
also	also
grosse	grosse
marter	marter
erliten	erlitten
daz	dass
ich	ich
es	es
niemant	niemand
an	ohne
wainende	weinende
augen	augen
wol	wohl
gesagen	sagen
mag	mag
nu	nun
pin	bin
ich	ich
erhocht	erhöht
von	von
meinem	meinem
chind	kind
vber	über
alles	alles
himlisch	himmlisch
her	heer
vnd	und
vber	über
alle	alle
creatur	kreatur
die	die
got	gott
peschueff	beschuf
douon	davon
so	so
mag	mag
ich	ich
noch	noch
schol	soll
nymer	nimmer
wainenn	weinen
vnd	und
douon	davon
so	so
will	will
ich	ich
von	vom
sagen	sagen
vnd	und
auslegen	auslegen
die	die
marter	marter
meines	meines
lieben	lieben
chindes	kindes
do	da
sprach	sprach
anshelmus	anselm
o	oh
aller	aller
liebstev	liebste
fraw	frau
meine	meine
wie	wie
hueb	hob
sich	sich
an	an
daz	das
die	die
erst	erst
deines	deines
lieben	lieben
chindes	kindes
marter	marter
do	da
sprach	sprach
maria	maria
do	da
mein	mein
chind	kind
an	an
dem	dem
daz	das
lest	letzte
essen	essen
mit	mit
seinen	seinen
iungern	jüngern
geessen	gegessen
het	hat
vnd	und
von	von
dem	dem
tisch	tisch
gie	ging
do	da
gie	ging
iudas	judas
czu	zu
den	den
iudischen	jüdischen
pischolffen	bischöfen
vnd	und
gab	gab
in	ihn
mein	mein
chind	kind
vmb	um
dreissig	dreissig
phenning	pfennig
/	/
darwmb	darum
verchaufft	verkauft
wart	ward
iosepp	joseph
vor	vor
viertausent	viertausend
iarn	jahren
vnd	und
warn	waren
den	den
iuden	juden
czu	zu
ainen	einen
eribtail	erbteil
geuallen	gefallen
die	die
do	da
mein	mein
liebs	liebes
chind	kind
chaufften	kauften
der	der
selben	selben
phenning	pfennig
waz	war
ye	je
ainer	einer
czechen	zehn
gemainer	gemeiner
phenning	pfennig
wert	wert
do	da
sprach	sprach
anshelmus	anselm
fraw	frau
werd	warst
du	du
do	da
pey	bei
xpeno	christus
vnd	und
pey	bei
seinen	seinen
iungern	jüngern
do	da
die	die
dinkch	ding
also	also
geschachenn	geschahen
do	da
sprach	sprach
maria	maria
nayn	nein
ich	ich
doch	doch
wizz	wisse
anshelmus	anselm
do	da
mein	mein
chind	kind
mit	mit
seinen	seinen
iungern	jüngern
die	die
pegie	beging
vnd	und
in	ihn
ir	ihr
fuesse	füsse
getwagen	getwahen
het	hat
vnd	und
seinen	seinen
vronleichnam	fronleichnam
vnd	und
sein	sein
plut	blut
geben	gegeben
het	hat
do	da
gie	ging
iudas	judas
czu	zu
den	den
iudischen	jüdischen
pischolffen	bischöfen
vnd	und
do	da
gie	ging
mein	mein
chind	kind
in	in
der	der
selben	selben
czeit	zeit
vnder	unter
den	den
perkch	berg
oliueti	oliveti
in	in
einen	einen
garten	garten
mit	mit
seinen	seinen
iungern	jüngern
vnd	und
do	da
nam	nahm
er	er
drey	drei
von	von
den	den
andern	anderen
iungern	jüngern
vnd	und
den	den
selben	selben
drein	drei
iungern	jüngern
gie	ging
er	er
auch	auch
vnd	und
hiez	hiess
si	sie
peten	beten
do	da
entslieffen	entschliefen
die	die
drey	drei
iunger	jünger
vnd	und
er	er
gie	ging
von	von
in	ihn
als	als
als	als
man	man
mit	mit
ainem	einem
stain	stein
gewerffen	werfen
mag	mag
vnd	und
pat	bat
an	an
seinen	seinen
vater	vater
vnd	und
sprach	sprach
/	/
erhor	erhöre
mich	mich
vater	vater
vnd	und
herre	herr
wann	wann
dein	dein
parmherczichait	barmherzigkeit
ist	ist
voller	voller
gnaden	gnaden
siech	sieh
mich	mich
an	an
mit	mit
deiner	deiner
manikualtichait	mannigfaltigkeit
deiner	deiner
gnaden	gnaden
vnd	und
deiner	deiner
parmherczichait	barmherzigkeit
vnd	und
erlos	erlöse
mich	mich
von	von
allen	allen
meinen	meinen
noten	nöten
/	/
do	da
fragt	fragt
aber	aber
anshelmus	anselm
vnd	und
sprach	sprach
warumb	warum
pat	bat
ih-us	jesus
den	den
vater	vater
von	von
hymel	himmel
vnd	und
warumb	warum
voricht	fürchtet
er	er
die	die
marter	marter
so	so
ser	sehr
/	/
do	da
sprach	sprach
maria	maria
/	/
daz	das
geschach	geschah
von	von
drin	drei
sachen	sachen
die	die
erst	erste
sach	sache
waz	war
daz	das
daz	dass
er	er
gar	gar
czertleichen	zärtlichen
gezogen	gezogen
waz	war
vnd	und
von	von
chunikleichem	königlichem
geslecht	geschlecht
geporn	geboren
was	war
vnd	und
douon	davon
so	so
tet	tat
im	ihm
die	die
marter	marter
den	denn
einem	einem
andern	anderen
menschen	menschen
/	/
die	die
ander	andere
sach	sache
waz	war
daz	dass
er	er
got	gott
vnd	und
mensch	mensch
waz	war
vnd	und
douon	davon
so	so
west	weisst
er	er
woll	wohl
alle	alle
die	die
marter	marter
die	die
er	er
leiden	leiden
solt	sollt
vnd	und
darwmb	darum
so	so
swiczt	schwitzt
er	er
plutigen	blutigen
swais	schweiss
die	die
drit	dritte
sach	sache
waz	war
daz	dass
er	er
woll	wohl
west	weisst
daz	dass
die	die
iuden	juden
aller	aller
parmherzichait	barmherzigkeit
an	an
im	ihm
vergassen	vergassen
vnd	und
do	da
er	er
den	den
vater	vater
also	also
zu	zu
dem	dem
dritten	dritten
mall	mal
anpat	anbat
vnd	und
sprach	sprach
vater	vater
sey	sei
es	es
dein	dein
will	wille
so	so
mich	mich
der	der
marter	marter
aber	aber
dein	dein
will	wille
werd	werde
volpracht	vollbracht
/	/
do	da
erschain	erscheine
im	ihm
ain	ein
engel	engel
vnd	und
sterkcht	stärkt
in	ihn
vnd	und
sprach	sprach
her	herr
pis	bis
vestes	festes
herczen	herzen
vnd	und
furicht	fürchte
dir	dir
nicht	nicht
wanne	wann
die	die
czeit	zeit
ist	ist
chomen	kommen
daz	dass
du	du
erlosen	erlösen
scholt	sollt
alles	alles
menschleichs	menschliches
geslecht	geschlecht
von	von
dem	dem
ewigen	ewigen
tode	tode
/	/
darnach	danach
gie	ging
mein	mein
chind	kind
czu	zu
den	den
iungern	jüngern
vnd	und
vand	fand
si	sie
slaffund	schlafend
vnd	und
do	da
sprach	sprach
er	er
czu	zu
in	ihn
mugt	mögt
ir	ihr
nicht	nicht
ain	ein
weill	weile
mit	mit
mir	mir
gewachn	wachen
/	/
stet	steht
auff	auf
vnd	und
secht	seht
er	er
chumpt	kommt
doher	daher
der	der
mich	mich
hat	hat
verchaufft	verkauft
/	/
vnd	und
do	da
er	er
also	also
mit	mit
in	ihn
ret	redet
do	da
chom	kam
iudas	judas
in	in
den	den
garten	garten
mit	mit
ainer	einer
grossen	grossen
schar	schar
vnd	und
sprach	sprach
czu	zu
in	ihn
/	/
ir	ihr
herren	herren
ir	ihr
schult	sollt
wissen	wissen
daz	dass
ih-us	jesus
vnd	und
iacobus	jacobus
gar	gar
geleich	gleich
aneinander	aneinander
sind	sind
vnd	und
mag	mag
man	man
ainen	einen
von	von
dem	dem
aenderin	anderen
nicht	nicht
gar	gar
woll	wohl
erchennen	erkennen
vnd	und
douon	davon
so	so
gib	gib
ich	ich
euch	euch
ain	ein
czaichen	zeichen
welchen	welchen
ich	ich
chusse	küsse
den	den
vacht	fangt
der	der
ist	ist
der	der
recht	recht
/	/
vnd	und
darnach	danach
zogt	zog
iudas	judas
mit	mit
den	den
iuden	juden
gegen	gegen
meinem	meinem
chind	kind
vnd	und
sprach	sprach
vnd	und
do	da
sprach	sprach
mein	mein
chind	kind
czu	zu
in	ihn
wen	wen
sucht	sucht
ir	ihr
/	/
do	da
sprachen	sprachen
die	die
iuden	juden
/	/
ih-m	jesus
von	von
nazaret	nazareth
/	/
do	da
sprach	sprach
meyn	mein
chint	kind
/	/
daz	das
pin	bin
ich	ich
/	/
vnd	und
do	da
er	er
daz	das
wartt	wort
also	also
gesprach	sprach
daz	das
pin	bin
ich	ich
.	.
do	da
viellen	fielen
die	die
iuden	juden
alle	alle
nyder	nieder
auff	auf
die	die
erden	erden
.	.
vnd	und
daz	das
geschach	geschah
also	also
/	/
darnach	danach
sprach	sprach
meyn	mein
chint	kind
/	/
seind	seid
ir	ihr
mich	mich
sucht	sucht
so	so
lat	lasst
die	die
pey	bei
mir	mir
sint	sind
gen	gehen
/	/
chust	küsst
iudas	judas
mein	mein
chint	kind
/	/
do	da
sprach	sprach
mein	mein
chint	kind
iudas	judas
verchauffest	verkaufst
du	du
mit	mit
dem	dem
chusse	kuss
des	des
menschen	menschen
chind	kind
darnach	danach
viellen	fielen
die	die
menschen	menschen
an	an
iesum	jesus
vnd	und
viengen	fingen
in	ihn
/	/
do	da
czucht	zog
petrus	petrus
ain	ein
swert	schwert
vnd	und
slug	schlug
ainem	einem
iuden	juden
chnecht	knecht
ain	ein
or	ohr
ab	ab
derselb	derselbe
chnecht	knecht
hies	hiess
malichus	malchus
/	/
do	da
fragt	fragt
aber	aber
anshelmus	anselm
/	/
fraw	frau
geschach	geschah
aber	aber
an	an
der	der
selben	selben
chain	kein
czaichen	zeichen
/	/
do	da
sprach	sprach
maria	maria
/	/
ia	ja
wenn	wann
es	es
saczt	setzt
mein	mein
chintt	kind
daz	das
or	ohr
wider	wieder
an	an
vnd	und
macht	macht
den	den
chncht	knecht
gesunt	gesund
.	.
vnd	und
sprach	sprach
czu	zu
sand	sankt
peter	petrus
/	/
stoz	stosse
dein	dein
swert	schwert
wider	wieder
in	in
die	die
schaid	scheide
wann	wann
wolt	wollt
ich	ich
den	den
vater	vater
pitten	bitten
er	er
sant	sandte
mir	mir
czweliff	zwölf
schar	schar
der	der
engel	engel
die	die
fur	für
mich	mich
vachten	fechten
/	/
fluchen	flohen
dy	die
iunger	jünger
alle	alle
von	von
meinem	meinem
chind	kind
/	/
do	da
sprach	sprach
anshelmus	anselm
wer	war
du	du
dopey	dabei
/	/
do	da
sprach	sprach
maria	maria
/	/
nayn	nein
ich	ich
/	/
do	da
sprach	sprach
anshelmus	anselm
.	.
wie	wie
mochst	mochtest
du	du
daz	das
verlann	verlassen
do	da
du	du
in	ihn
so	so
herczenlieb	herzenlieb
hetest	hattest
/	/
do	da
sprach	sprach
maria	maria
/	/
es	es
waz	war
nacht	nacht
vnd	und
gezam	gezam
nicht	nicht
daz	dass
iunchfrawen	jungfrauen
auff	auf
der	der
stras	strasse
giengen	gingen
do	da
sprach	sprach
anshelmus	anselm
/	/
wo	wo
wer	war
du	du
do	da
/	/
da	da
sprach	sprach
maria	maria
/	/
ich	ich
waz	war
in	in
meiner	meiner
swester	schwester
haws	haus
iohannes	johannes
mueter	mutter
/	/
wie	wie
wurt	wurde
du	du
sein	sein
do	da
inne	inne
/	/
oder	oder
wer	wer
sait	sagt
dir	dir
s	es
.	.
do	da
sprach	sprach
maria	maria
.	.
nu	nun
hor	höre
es	es
chomen	kommen
die	die
iunger	jünger
schreiund	schreiend
vnd	und
chlagung	klagend
